month,open,high,low,close,volume,unadjustedVolume,changePercent,vwap,changeOverTime,marketCap,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation,company_name,ticker,employee_category_label,layoff
2020-12,25.12,33.1599,25.12,29.45,8608193,8608200,17.24,28.69,0.1724,588414416.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2021-01,28.76,29.43,27.65,27.79,682224,682200,-3.37,28.49,-0.0337,1364745696.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2021-02,41.9,46.97,41.9,45.88,870228,870200,9.5,44.7,0.095,2253131793.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2021-03,68.73,76.9581,68.15,69.92,1289946,1282600,1.73,72.59,0.0173,3433717851.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2021-04,50.99,59.73,50.57,58.0,1119747,1119700,13.75,56.57,0.1375,2875555088.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2021-05,52.91,54.09,50.58,51.13,269791,269800,-3.36,52.01,-0.0336,2534950545.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2021-06,29.55,30.98,28.56,29.18,2982046,2982000,-1.25,29.56,-0.0125,1446701680.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2021-07,39.66,39.7303,36.4,36.78,1448332,1447200,-7.26,37.4,-0.0726,1859583412.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2021-08,30.0,30.7,28.76,30.07,883770,883500,0.23333,29.74,0.0023333,1520328254.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2021-09,29.8,29.99,29.16,29.52,1172387,1172400,-0.9396,29.69,-0.009396,1492520454.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2021-10,26.48,26.67,25.34,25.82,864626,864600,-2.49,25.68,-0.0249,1328708870.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2021-11,28.76,29.72,28.46,29.41,453307,453300,2.26,29.22,0.0226,1513451893.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2021-12,40.11,41.92,36.43,36.69,2860469,2857600,-8.53,38.64,-0.0853,1888083983.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2022-01,34.57,34.7484,32.7,33.23,700792,700600,-3.88,33.37,-0.0388,1890394188.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2022-02,25.08,27.33,24.77,26.69,1315726,1315700,6.42,26.34,0.0642,1518345497.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2022-03,27.67,28.5,24.55,25.35,3179058,3179100,-8.38,26.18,-0.0838,1442115337.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2022-04,26.12,27.39,26.12,26.48,477615,477400,1.38,26.69,0.0138,1478907973.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2022-05,22.77,23.96,22.42,23.91,874554,874600,5.01,23.27,0.0501,1335373476.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2022-06,20.03,20.53,19.16,19.31,848577,848600,-3.59,19.66,-0.0359,1078463480.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2022-07,15.86,16.1739,15.52,15.75,1043106,1043100,-0.69357,15.76,-0.0069357,873074994.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2022-08,15.97,16.42,15.0558,16.11,1006102,1006100,0.87664,15.84,0.0087664,893030994.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2022-09,19.27,19.27,18.475,19.02,547562,547500,-1.3,18.85,-0.013,1054341993.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2022-10,16.91,17.675,16.74,17.51,607568,607500,3.55,17.38,0.0355,921059566.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2022-11,18.0,18.01,17.21,17.32,299608,299400,-3.78,17.5,-0.0378,911065202.0,,,,,,,,,,PubMatic,PUBM,1.0,0
2022-12,15.56,15.93,15.54,15.83,327831,327700,1.74,15.74,0.0174,832688346.0,19.861666666666668,19.884639035429625,17.588205128205125,14.275969628708882,12.586437076418584,-97.2515781261082,87.32967541193922,20.408309515931776,4.951117438406091,PubMatic,PUBM,1.0,0
2023-01,13.1,13.41,12.66,13.17,569109,569100,0.53435,13.12,0.0053435,694590435.0,19.09333333333333,19.18392533767122,16.891025641025642,13.845216556958093,12.644040311641984,-84.02848423194304,88.41646020255203,20.24337897718756,4.878817024193012,PubMatic,PUBM,1.0,0
